年龄,是否离职,出差频率,日薪,部门,离家距离,教育程度,教育领域,员工计数,员工编号,环境满意度,性别,时薪,工作投入度,职位等级,职位角色,工作满意度,婚姻状况,月收入,月费率,曾工作公司数,是否满18岁,是否加班,薪资涨幅百分比,绩效评级,关系满意度,标准工时,股票期权等级,总工作年限,去年培训次数,工作生活平衡,本公司工作年限,现任职位年限,上次晋升至今年限,现任经理共事年限
28,否,偶尔出差,304,Sales,9,4,Life Sciences,1,498,2,男,92,3,2,Sales Executive,4,单身,5253,20750,1,Y,否,16,3,4,80,0,7,1,3,7,5,0,7
49,否,偶尔出差,1261,Research & Development,7,3,Other,1,499,2,男,31,2,3,Healthcare Representative,3,单身,10965,12066,8,Y,否,24,4,3,80,0,26,2,3,5,2,0,0
51,否,偶尔出差,1178,Sales,14,2,Life Sciences,1,500,3,女,87,3,2,Sales Executive,4,已婚,4936,14862,4,Y,否,11,3,3,80,1,18,2,2,7,7,0,7
36,否,偶尔出差,329,Research & Development,2,3,Life Sciences,1,501,4,女,96,3,1,Research Scientist,3,已婚,2543,11868,4,Y,否,13,3,2,80,1,6,3,3,2,2,2,2
34,是,不出差,1362,Sales,19,3,Marketing,1,502,1,男,67,4,2,Sales Executive,4,单身,5304,4652,8,Y,是,13,3,2,80,0,9,3,2,5,2,0,4
55,否,偶尔出差,1311,Research & Development,2,3,Life Sciences,1,505,3,女,97,3,4,Manager,4,单身,16659,23258,2,Y,是,13,3,3,80,0,30,2,3,5,4,1,2
24,否,偶尔出差,1371,Sales,10,4,Marketing,1,507,4,女,77,3,2,Sales Executive,3,离异,4260,5915,1,Y,是,12,3,4,80,1,5,2,4,5,2,0,3
30,否,偶尔出差,202,Sales,2,1,Technical Degree,1,508,3,男,72,3,1,Sales Representative,2,已婚,2476,17434,1,Y,否,18,3,1,80,1,1,3,3,1,0,0,0
26,是,经常出差,575,Research & Development,3,1,Technical Degree,1,510,3,男,73,3,1,Research Scientist,1,单身,3102,6582,0,Y,否,22,4,3,80,0,7,2,3,6,4,0,4
22,否,偶尔出差,253,Research & Development,11,3,Medical,1,511,1,女,43,3,1,Research Scientist,2,已婚,2244,24440,1,Y,否,13,3,4,80,1,2,1,3,2,1,1,2
36,否,偶尔出差,164,Sales,2,2,Medical,1,513,2,男,61,2,3,Sales Executive,3,已婚,7596,3809,1,Y,否,13,3,2,80,2,10,2,3,10,9,9,0
30,是,经常出差,464,Research & Development,4,3,Technical Degree,1,514,3,男,40,3,1,Research Scientist,4,单身,2285,3427,9,Y,是,23,4,3,80,0,3,4,3,1,0,0,0
37,否,偶尔出差,1107,Research & Development,14,3,Life Sciences,1,515,4,女,95,3,1,Laboratory Technician,1,离异,3034,26914,1,Y,否,12,3,3,80,1,18,2,2,18,7,12,17
40,否,偶尔出差,759,Sales,2,2,Marketing,1,516,4,女,46,3,2,Sales Executive,2,离异,5715,22553,7,Y,否,12,3,3,80,2,8,5,3,5,4,1,3
42,否,偶尔出差,201,Research & Development,1,4,Life Sciences,1,517,2,女,95,3,1,Laboratory Technician,1,离异,2576,20490,3,Y,否,16,3,2,80,1,8,5,3,5,2,1,2
37,否,偶尔出差,1305,Research & Development,10,4,Life Sciences,1,518,3,男,49,3,2,Manufacturing Director,2,单身,4197,21123,2,Y,是,12,3,4,80,0,18,2,2,1,0,0,1
43,否,偶尔出差,982,Research & Development,12,3,Life Sciences,1,520,1,男,59,2,4,Research Director,2,离异,14336,4345,1,Y,否,11,3,3,80,1,25,3,3,25,10,3,9
40,否,偶尔出差,555,Research & Development,2,3,Medical,1,521,2,女,78,2,2,Laboratory Technician,3,已婚,3448,13436,6,Y,否,22,4,2,80,1,20,3,3,1,0,0,0
54,否,偶尔出差,821,Research & Development,5,2,Medical,1,522,1,男,86,3,5,Research Director,1,已婚,19406,8509,4,Y,否,11,3,3,80,1,24,4,2,4,2,1,2
34,否,不出差,1381,Sales,4,4,Marketing,1,523,3,女,72,3,2,Sales Executive,3,已婚,6538,12740,9,Y,否,15,3,1,80,1,6,3,3,3,2,1,2
31,否,偶尔出差,480,Research & Development,7,2,Medical,1,524,2,女,31,3,2,Manufacturing Director,1,已婚,4306,4156,1,Y,否,12,3,2,80,1,13,5,1,13,10,3,12
43,否,经常出差,313,Research & Development,21,3,Medical,1,525,4,男,61,3,1,Laboratory Technician,4,已婚,2258,15238,7,Y,否,20,4,1,80,1,8,1,3,3,2,1,2
43,否,偶尔出差,1473,Research & Development,8,4,Other,1,526,3,女,74,3,2,Healthcare Representative,3,离异,4522,2227,4,Y,是,14,3,4,80,0,8,3,3,5,2,0,2
25,否,偶尔出差,891,Sales,4,2,Life Sciences,1,527,2,女,99,2,2,Sales Executive,4,单身,4487,12090,1,Y,是,11,3,2,80,0,5,3,3,5,4,1,3
37,否,不出差,1063,Research & Development,25,5,Medical,1,529,2,女,72,3,2,Research Scientist,3,已婚,4449,23866,3,Y,是,15,3,1,80,2,15,2,3,13,11,10,7
31,否,偶尔出差,329,Research & Development,1,2,Life Sciences,1,530,4,男,98,2,1,Laboratory Technician,1,已婚,2218,16193,1,Y,否,12,3,3,80,1,4,3,3,4,2,3,2
39,否,经常出差,1218,Research & Development,1,1,Life Sciences,1,531,2,男,52,3,5,Manager,3,离异,19197,8213,1,Y,是,14,3,3,80,1,21,3,3,21,8,1,6
56,否,经常出差,906,Sales,6,3,Life Sciences,1,532,3,女,86,4,4,Sales Executive,1,已婚,13212,18256,9,Y,否,11,3,4,80,3,36,0,2,7,7,7,7
30,否,偶尔出差,1082,Sales,12,3,Technical Degree,1,533,2,女,83,3,2,Sales Executive,3,单身,6577,19558,0,Y,否,11,3,2,80,0,6,6,3,5,4,4,4
41,否,偶尔出差,645,Sales,1,3,Marketing,1,534,2,男,49,4,3,Sales Executive,1,已婚,8392,19566,1,Y,否,16,3,3,80,1,10,2,3,10,7,0,7
28,否,偶尔出差,1300,Research & Development,17,2,Medical,1,536,3,男,79,3,2,Laboratory Technician,1,离异,4558,13535,1,Y,否,12,3,4,80,1,10,2,3,10,0,1,8
25,是,偶尔出差,688,Research & Development,3,3,Medical,1,538,1,男,91,3,1,Laboratory Technician,1,已婚,4031,9396,5,Y,否,13,3,3,80,1,6,5,3,2,2,0,2
52,否,偶尔出差,319,Research & Development,3,3,Medical,1,543,4,男,39,2,3,Manufacturing Director,3,已婚,7969,19609,2,Y,是,14,3,3,80,0,28,4,3,5,4,0,4
45,否,偶尔出差,192,Research & Development,10,2,Life Sciences,1,544,1,男,69,3,1,Research Scientist,4,已婚,2654,9655,3,Y,否,21,4,4,80,2,8,3,2,2,2,0,2
52,否,偶尔出差,1490,Research & Development,4,2,Life Sciences,1,546,4,女,30,3,4,Manager,4,已婚,16555,10310,2,Y,否,13,3,4,80,0,31,2,1,5,2,1,4
42,否,经常出差,532,Research & Development,29,2,Life Sciences,1,547,1,女,92,3,2,Research Scientist,3,离异,4556,12932,2,Y,否,11,3,2,80,1,19,3,3,5,4,0,2
30,否,偶尔出差,317,Research & Development,2,3,Life Sciences,1,548,3,女,43,1,2,Manufacturing Director,4,单身,6091,24793,2,Y,否,20,4,3,80,0,11,2,3,5,4,0,2
60,否,偶尔出差,422,Research & Development,7,3,Life Sciences,1,549,1,女,41,3,5,Manager,1,已婚,19566,3854,5,Y,否,11,3,4,80,0,33,5,1,29,8,11,10
46,否,偶尔出差,1485,Research & Development,18,3,Medical,1,550,3,女,87,3,2,Manufacturing Director,3,离异,4810,26314,2,Y,否,14,3,3,80,1,19,5,2,10,7,0,8
42,否,经常出差,1368,Research & Development,28,4,Technical Degree,1,551,4,女,88,2,2,Healthcare Representative,4,已婚,4523,4386,0,Y,否,11,3,4,80,3,7,4,4,6,5,0,4
24,是,偶尔出差,1448,Sales,1,1,Technical Degree,1,554,1,女,62,3,1,Sales Representative,2,单身,3202,21972,1,Y,是,16,3,2,80,0,6,4,3,5,3,1,4
34,是,经常出差,296,Sales,6,2,Marketing,1,555,4,女,33,1,1,Sales Representative,3,离异,2351,12253,0,Y,否,16,3,4,80,1,3,3,2,2,2,1,0
38,否,经常出差,1490,Research & Development,2,2,Life Sciences,1,556,4,男,42,3,1,Laboratory Technician,4,已婚,1702,12106,1,Y,是,23,4,3,80,1,1,3,3,1,0,0,0
40,否,偶尔出差,1398,Sales,2,4,Life Sciences,1,558,3,女,79,3,5,Manager,3,已婚,18041,13022,0,Y,否,14,3,4,80,0,21,2,3,20,15,1,12
26,否,偶尔出差,1349,Research & Development,23,3,Life Sciences,1,560,1,女,90,3,1,Research Scientist,4,离异,2886,3032,1,Y,否,22,4,2,80,2,3,3,1,3,2,0,2
30,否,不出差,1400,Research & Development,3,3,Life Sciences,1,562,3,男,53,3,1,Laboratory Technician,4,已婚,2097,16734,4,Y,否,15,3,3,80,1,9,3,1,5,3,1,4
29,否,偶尔出差,986,Research & Development,3,4,Medical,1,564,2,男,93,2,3,Research Director,3,已婚,11935,21526,1,Y,否,18,3,3,80,0,10,2,3,10,2,0,7
29,是,偶尔出差,408,Research & Development,25,5,Technical Degree,1,565,3,女,71,2,1,Research Scientist,2,已婚,2546,18300,5,Y,否,16,3,2,80,0,6,2,4,2,2,1,1
19,是,偶尔出差,489,Human Resources,2,2,Technical Degree,1,566,1,男,52,2,1,Human Resources,4,单身,2564,18437,1,Y,否,12,3,3,80,0,1,3,4,1,0,0,0
30,否,不出差,1398,Sales,22,4,Other,1,567,3,女,69,3,3,Sales Executive,1,已婚,8412,2890,0,Y,否,11,3,3,80,0,10,3,3,9,8,7,8
57,否,偶尔出差,210,Sales,29,3,Marketing,1,568,1,男,56,2,4,Manager,4,离异,14118,22102,3,Y,否,12,3,3,80,1,32,3,2,1,0,0,0
50,否,偶尔出差,1099,Research & Development,29,4,Life Sciences,1,569,2,男,88,2,4,Manager,3,已婚,17046,9314,0,Y,否,15,3,2,80,1,28,2,3,27,10,15,7
30,否,不出差,1116,Research & Development,2,3,Medical,1,571,3,女,49,3,1,Laboratory Technician,4,单身,2564,7181,0,Y,否,14,3,3,80,0,12,2,2,11,7,6,7
60,否,经常出差,1499,Sales,28,3,Marketing,1,573,3,女,80,2,3,Sales Executive,1,已婚,10266,2845,4,Y,否,19,3,4,80,0,22,5,4,18,13,13,11
47,否,偶尔出差,983,Research & Development,2,2,Medical,1,574,1,女,65,3,2,Manufacturing Director,4,离异,5070,7389,5,Y,否,13,3,3,80,3,20,2,3,5,0,0,4
46,否,偶尔出差,1009,Research & Development,2,3,Life Sciences,1,575,1,男,51,3,4,Research Director,3,已婚,17861,2288,6,Y,否,13,3,3,80,0,26,2,1,3,2,0,1
35,否,偶尔出差,144,Research & Development,22,3,Life Sciences,1,577,4,男,46,1,1,Laboratory Technician,3,单身,4230,19225,0,Y,否,15,3,3,80,0,6,2,3,5,4,4,3
54,否,偶尔出差,548,Research & Development,8,4,Life Sciences,1,578,3,女,42,3,2,Laboratory Technician,3,单身,3780,23428,7,Y,否,11,3,3,80,0,19,3,3,1,0,0,0
34,否,偶尔出差,1303,Research & Development,2,4,Life Sciences,1,579,4,男,62,2,1,Research Scientist,3,离异,2768,8416,3,Y,否,12,3,3,80,1,14,3,3,7,3,5,7
46,否,偶尔出差,1125,Sales,10,3,Marketing,1,580,3,女,94,2,3,Sales Executive,4,已婚,9071,11563,2,Y,是,19,3,3,80,1,15,3,3,3,2,1,2
31,否,偶尔出差,1274,Research & Development,9,1,Life Sciences,1,581,3,男,33,3,3,Manufacturing Director,2,离异,10648,14394,1,Y,否,25,4,4,80,1,13,6,4,13,8,0,8
33,是,偶尔出差,1277,Research & Development,15,1,Medical,1,582,2,男,56,3,3,Manager,3,已婚,13610,24619,7,Y,是,12,3,4,80,0,15,2,4,7,6,7,7
33,是,偶尔出差,587,Research & Development,10,1,Medical,1,584,1,男,38,1,1,Laboratory Technician,4,离异,3408,6705,7,Y,否,13,3,1,80,3,8,2,3,4,3,1,3
30,否,偶尔出差,413,Sales,7,1,Marketing,1,585,4,男,57,3,1,Sales Representative,2,单身,2983,18398,0,Y,否,14,3,1,80,0,4,3,3,3,2,1,2
35,否,偶尔出差,1276,Research & Development,16,3,Life Sciences,1,586,4,男,72,3,3,Healthcare Representative,3,已婚,7632,14295,4,Y,是,12,3,3,80,0,10,2,3,8,7,0,0
31,是,经常出差,534,Research & Development,20,3,Life Sciences,1,587,1,男,66,3,3,Healthcare Representative,3,已婚,9824,22908,3,Y,否,12,3,1,80,0,12,2,3,1,0,0,0
34,是,经常出差,988,Human Resources,23,3,Human Resources,1,590,2,女,43,3,3,Human Resources,1,离异,9950,11533,9,Y,是,15,3,3,80,3,11,2,3,3,2,0,2
42,否,经常出差,1474,Research & Development,5,2,Other,1,591,2,男,97,3,1,Laboratory Technician,3,已婚,2093,9260,4,Y,否,17,3,4,80,1,8,4,3,2,2,2,0
36,否,不出差,635,Sales,10,4,Medical,1,592,2,男,32,3,3,Sales Executive,4,单身,9980,15318,1,Y,否,14,3,4,80,0,10,3,2,10,3,9,7
22,是,经常出差,1368,Research & Development,4,1,Technical Degree,1,593,3,男,99,2,1,Laboratory Technician,3,单身,3894,9129,5,Y,否,16,3,3,80,0,4,3,3,2,2,1,2
48,否,偶尔出差,163,Sales,2,5,Marketing,1,595,2,女,37,3,2,Sales Executive,4,已婚,4051,19658,2,Y,否,14,3,1,80,1,14,2,3,9,7,6,7
55,否,偶尔出差,1117,Sales,18,5,Life Sciences,1,597,1,女,83,3,4,Manager,2,单身,16835,9873,3,Y,否,23,4,4,80,0,37,2,3,10,9,7,7
41,否,不出差,267,Sales,10,2,Life Sciences,1,599,4,男,56,3,2,Sales Executive,4,单身,6230,13430,7,Y,否,14,3,4,80,0,16,3,3,14,3,1,10
35,否,偶尔出差,619,Sales,1,3,Marketing,1,600,2,男,85,3,2,Sales Executive,3,已婚,4717,18659,9,Y,否,11,3,3,80,0,15,2,3,11,9,6,9
40,否,偶尔出差,302,Research & Development,6,3,Life Sciences,1,601,2,女,75,3,4,Manufacturing Director,3,单身,13237,20364,7,Y,否,15,3,3,80,0,22,3,3,20,6,5,13
39,否,经常出差,443,Research & Development,8,1,Life Sciences,1,602,3,女,48,3,1,Laboratory Technician,3,已婚,3755,17872,1,Y,否,11,3,1,80,1,8,3,3,8,3,0,7
31,否,偶尔出差,828,Sales,2,1,Life Sciences,1,604,2,男,77,3,2,Sales Executive,4,单身,6582,8346,4,Y,是,13,3,3,80,0,10,2,4,6,5,0,5
42,否,偶尔出差,319,Research & Development,24,3,Medical,1,605,4,男,56,3,3,Manufacturing Director,1,已婚,7406,6950,1,Y,是,21,4,4,80,1,10,5,2,10,9,5,8
45,否,偶尔出差,561,Sales,2,3,Other,1,606,4,男,61,3,2,Sales Executive,2,已婚,4805,16177,0,Y,否,19,3,2,80,1,9,3,4,8,7,3,7
26,是,经常出差,426,Human Resources,17,4,Life Sciences,1,608,2,女,58,3,1,Human Resources,3,离异,2741,22808,0,Y,是,11,3,2,80,1,8,2,2,7,7,1,0
29,否,偶尔出差,232,Research & Development,19,3,Technical Degree,1,611,4,男,34,3,2,Manufacturing Director,4,离异,4262,22645,4,Y,否,12,3,2,80,2,8,2,4,3,2,1,2
33,否,偶尔出差,922,Research & Development,1,5,Medical,1,612,1,女,95,4,4,Research Director,3,离异,16184,22578,4,Y,否,19,3,3,80,1,10,2,3,6,1,0,5
31,否,偶尔出差,688,Sales,7,3,Life Sciences,1,613,3,男,44,2,3,Manager,4,离异,11557,25291,9,Y,否,21,4,3,80,1,10,3,2,5,4,0,1
18,是,经常出差,1306,Sales,5,3,Marketing,1,614,2,男,69,3,1,Sales Representative,2,单身,1878,8059,1,Y,是,14,3,4,80,0,0,3,3,0,0,0,0
40,否,不出差,1094,Sales,28,3,Other,1,615,3,男,58,1,3,Sales Executive,1,离异,10932,11373,3,Y,否,15,3,3,80,1,20,2,3,1,0,0,1
41,否,不出差,509,Research & Development,2,4,Other,1,616,1,女,62,2,2,Healthcare Representative,3,单身,6811,2112,2,Y,是,17,3,1,80,0,10,3,3,8,7,0,7
26,否,偶尔出差,775,Sales,29,2,Medical,1,618,1,男,45,3,2,Sales Executive,3,离异,4306,4267,5,Y,否,12,3,1,80,2,8,5,3,0,0,0,0
35,否,偶尔出差,195,Sales,1,3,Medical,1,620,1,女,80,3,2,Sales Executive,3,单身,4859,6698,1,Y,否,16,3,4,80,0,5,3,3,5,4,0,3
34,否,偶尔出差,258,Sales,21,4,Life Sciences,1,621,4,男,74,4,2,Sales Executive,4,单身,5337,19921,1,Y,否,12,3,4,80,0,10,3,3,10,7,5,7
26,是,偶尔出差,471,Research & Development,24,3,Technical Degree,1,622,3,男,66,1,1,Laboratory Technician,4,单身,2340,23213,1,Y,是,18,3,2,80,0,1,3,1,1,0,0,0
37,否,偶尔出差,799,Research & Development,1,3,Technical Degree,1,623,2,女,59,3,3,Manufacturing Director,4,单身,7491,23848,4,Y,否,17,3,4,80,0,12,3,4,6,5,1,2
46,否,经常出差,1034,Research & Development,18,1,Medical,1,624,1,女,86,3,3,Healthcare Representative,3,已婚,10527,8984,5,Y,否,11,3,4,80,0,28,3,2,2,2,1,2
41,否,偶尔出差,1276,Sales,2,5,Life Sciences,1,625,2,女,91,3,4,Manager,1,已婚,16595,5626,7,Y,否,16,3,2,80,1,22,2,3,18,16,11,8
37,否,不出差,142,Sales,9,4,Medical,1,626,1,男,69,3,3,Sales Executive,2,离异,8834,24666,1,Y,否,13,3,4,80,1,9,6,3,9,5,7,7
52,否,偶尔出差,956,Research & Development,6,2,Technical Degree,1,630,4,男,78,3,2,Research Scientist,1,离异,5577,22087,3,Y,是,12,3,2,80,2,18,3,3,10,9,6,9
32,是,不出差,1474,Sales,11,4,Other,1,631,4,男,60,4,2,Sales Executive,3,已婚,4707,23914,8,Y,否,12,3,4,80,0,6,2,3,4,2,1,2
24,否,经常出差,535,Sales,24,3,Medical,1,632,4,男,38,3,1,Sales Representative,4,已婚,2400,5530,0,Y,否,13,3,3,80,2,3,3,3,2,2,2,1
38,否,偶尔出差,1495,Research & Development,10,3,Medical,1,634,3,女,76,3,2,Healthcare Representative,3,已婚,9824,22174,3,Y,否,19,3,3,80,1,18,4,3,1,0,0,0
37,否,偶尔出差,446,Research & Development,1,4,Life Sciences,1,635,2,女,65,3,2,Manufacturing Director,2,已婚,6447,15701,6,Y,否,12,3,2,80,1,8,2,2,6,5,4,3
49,否,偶尔出差,1245,Research & Development,18,4,Life Sciences,1,638,4,男,58,2,5,Research Director,3,离异,19502,2125,1,Y,是,17,3,3,80,1,31,5,3,31,9,0,9
24,否,偶尔出差,691,Research & Development,23,3,Medical,1,639,2,男,89,4,1,Research Scientist,4,已婚,2725,21630,1,Y,是,11,3,2,80,2,6,3,3,6,5,1,4
26,否,偶尔出差,703,Sales,28,2,Marketing,1,641,1,男,66,3,2,Sales Executive,2,已婚,6272,7428,1,Y,否,20,4,4,80,2,6,5,4,5,3,1,4
24,否,偶尔出差,823,Research & Development,17,2,Other,1,643,4,男,94,2,1,Laboratory Technician,2,已婚,2127,9100,1,Y,否,21,4,4,80,1,1,2,3,1,0,0,0
50,否,经常出差,1246,Human Resources,3,3,Medical,1,644,1,男,99,3,5,Manager,2,已婚,18200,7999,1,Y,否,11,3,3,80,1,32,2,3,32,5,10,7
25,否,偶尔出差,622,Sales,13,1,Medical,1,645,2,男,40,3,1,Sales Representative,3,已婚,2096,26376,1,Y,否,11,3,3,80,0,7,1,3,7,4,0,6
24,是,经常出差,1287,Research & Development,7,3,Life Sciences,1,647,1,女,55,3,1,Laboratory Technician,3,已婚,2886,14168,1,Y,是,16,3,4,80,1,6,4,3,6,3,1,2
30,是,经常出差,448,Sales,12,4,Life Sciences,1,648,2,男,74,2,1,Sales Representative,1,已婚,2033,14470,1,Y,否,18,3,3,80,1,1,2,4,1,0,0,0
34,否,偶尔出差,254,Research & Development,1,2,Life Sciences,1,649,2,男,83,2,1,Research Scientist,4,已婚,3622,22794,1,Y,是,13,3,4,80,1,6,3,3,6,5,1,3
31,是,偶尔出差,1365,Sales,13,4,Medical,1,650,2,男,46,3,2,Sales Executive,1,离异,4233,11512,2,Y,否,17,3,3,80,0,9,2,1,3,1,1,2
35,否,偶尔出差,538,Research & Development,25,2,Other,1,652,1,男,54,2,2,Laboratory Technician,4,单身,3681,14004,4,Y,否,14,3,4,80,0,9,3,3,3,2,0,2
31,否,偶尔出差,525,Sales,6,4,Medical,1,653,1,男,66,4,2,Sales Executive,4,离异,5460,6219,4,Y,否,22,4,4,80,2,13,4,4,7,7,5,7
27,否,偶尔出差,798,Research & Development,6,4,Medical,1,655,1,女,66,2,1,Research Scientist,3,离异,2187,5013,0,Y,否,12,3,3,80,2,6,5,2,5,3,0,3
37,否,偶尔出差,558,Sales,2,3,Marketing,1,656,4,男,75,3,2,Sales Executive,3,已婚,9602,3010,4,Y,是,11,3,3,80,1,17,3,2,3,0,1,0
20,否,偶尔出差,959,Research & Development,1,3,Life Sciences,1,657,4,女,83,2,1,Research Scientist,2,单身,2836,11757,1,Y,否,13,3,4,80,0,1,0,4,1,0,0,0
42,否,偶尔出差,622,Research & Development,2,4,Life Sciences,1,659,3,女,81,3,2,Healthcare Representative,4,已婚,4089,5718,1,Y,否,13,3,2,80,2,10,4,3,10,2,2,2
43,否,偶尔出差,782,Research & Development,6,4,Other,1,661,2,男,50,2,4,Research Director,4,离异,16627,2671,4,Y,是,14,3,3,80,1,21,3,2,1,0,0,0
38,否,偶尔出差,362,Research & Development,1,1,Life Sciences,1,662,3,女,43,3,1,Research Scientist,1,单身,2619,14561,3,Y,否,17,3,4,80,0,8,3,2,0,0,0,0
43,否,经常出差,1001,Research & Development,9,5,Medical,1,663,4,男,72,3,2,Laboratory Technician,3,离异,5679,19627,3,Y,是,13,3,2,80,1,10,3,3,8,7,4,7
48,否,偶尔出差,1236,Research & Development,1,4,Life Sciences,1,664,4,女,40,2,4,Manager,1,已婚,15402,17997,7,Y,否,11,3,1,80,1,21,3,1,3,2,0,2
44,否,偶尔出差,1112,Human Resources,1,4,Life Sciences,1,665,1,女,50,2,2,Human Resources,3,单身,5985,26894,4,Y,否,11,3,2,80,0,10,1,4,2,2,0,2
34,否,偶尔出差,204,Sales,14,3,Technical Degree,1,666,3,女,31,3,1,Sales Representative,3,离异,2579,2912,1,Y,是,18,3,4,80,2,8,3,3,8,2,0,6
27,是,偶尔出差,1420,Sales,2,1,Marketing,1,667,3,男,85,3,1,Sales Representative,1,离异,3041,16346,0,Y,否,11,3,2,80,1,5,3,3,4,3,0,2
21,否,偶尔出差,1343,Sales,22,1,Technical Degree,1,669,3,男,49,3,1,Sales Representative,3,单身,3447,24444,1,Y,否,11,3,3,80,0,3,2,3,3,2,1,2
44,否,偶尔出差,1315,Research & Development,3,4,Other,1,671,4,男,35,3,5,Manager,4,已婚,19513,9358,4,Y,是,12,3,1,80,1,26,2,4,2,2,0,1
22,否,偶尔出差,604,Research & Development,6,1,Medical,1,675,1,男,69,3,1,Research Scientist,3,已婚,2773,12145,0,Y,否,20,4,4,80,0,3,3,3,2,2,2,2
33,否,偶尔出差,1216,Sales,8,4,Marketing,1,677,3,男,39,3,2,Sales Executive,3,离异,7104,20431,0,Y,否,12,3,4,80,0,6,3,3,5,0,1,2
32,否,偶尔出差,646,Research & Development,9,4,Life Sciences,1,679,1,女,92,3,2,Research Scientist,4,已婚,6322,18089,1,Y,是,12,3,4,80,1,6,2,2,6,4,0,5
30,否,经常出差,160,Research & Development,3,3,Medical,1,680,3,女,71,3,1,Research Scientist,3,离异,2083,22653,1,Y,否,20,4,3,80,1,1,2,3,1,0,0,0
53,否,偶尔出差,238,Sales,1,1,Medical,1,682,4,女,34,3,2,Sales Executive,1,单身,8381,7507,7,Y,否,20,4,4,80,0,18,2,4,14,7,8,10
34,否,偶尔出差,1397,Research & Development,1,5,Life Sciences,1,683,2,男,42,3,1,Research Scientist,4,已婚,2691,7660,1,Y,否,12,3,4,80,1,10,4,2,10,9,8,8
45,是,经常出差,306,Sales,26,4,Life Sciences,1,684,1,女,100,3,2,Sales Executive,1,已婚,4286,5630,2,Y,否,14,3,4,80,2,5,4,3,1,1,0,0
26,否,偶尔出差,991,Research & Development,6,3,Life Sciences,1,686,3,女,71,3,1,Laboratory Technician,4,已婚,2659,17759,1,Y,是,13,3,3,80,1,3,2,3,3,2,0,2
37,否,偶尔出差,482,Research & Development,3,3,Other,1,689,3,男,36,3,3,Manufacturing Director,3,已婚,9434,9606,1,Y,否,15,3,3,80,1,10,2,3,10,7,7,8
29,否,偶尔出差,1176,Sales,3,2,Medical,1,690,2,女,62,3,2,Sales Executive,3,已婚,5561,3487,1,Y,否,14,3,1,80,1,6,5,2,6,0,1,2
35,否,偶尔出差,1017,Research & Development,6,4,Life Sciences,1,691,2,男,82,1,2,Research Scientist,4,单身,6646,19368,1,Y,否,13,3,2,80,0,17,3,3,17,11,11,8
33,否,经常出差,1296,Research & Development,6,3,Life Sciences,1,692,3,男,30,3,2,Healthcare Representative,4,离异,7725,5335,3,Y,否,23,4,3,80,1,15,2,1,13,11,4,7
54,否,偶尔出差,397,Human Resources,19,4,Medical,1,698,3,男,88,3,3,Human Resources,2,已婚,10725,6729,2,Y,否,15,3,3,80,1,16,1,4,9,7,7,1
36,否,偶尔出差,913,Research & Development,9,2,Medical,1,699,2,男,48,2,2,Manufacturing Director,2,离异,8847,13934,2,Y,是,11,3,3,80,1,13,2,3,3,2,0,2
27,否,偶尔出差,1115,Research & Development,3,4,Medical,1,700,1,男,54,2,1,Research Scientist,4,单身,2045,15174,0,Y,否,13,3,4,80,0,5,0,3,4,2,1,1
20,是,偶尔出差,1362,Research & Development,10,1,Medical,1,701,4,男,32,3,1,Research Scientist,3,单身,1009,26999,1,Y,是,11,3,4,80,0,1,5,3,1,0,1,1
33,是,经常出差,1076,Research & Development,3,3,Life Sciences,1,702,1,男,70,3,1,Research Scientist,1,单身,3348,3164,1,Y,是,11,3,1,80,0,10,3,3,10,8,9,7
35,否,不出差,727,Research & Development,3,3,Life Sciences,1,704,3,男,41,2,1,Laboratory Technician,3,已婚,1281,16900,1,Y,否,18,3,3,80,2,1,3,3,1,0,0,0
23,否,偶尔出差,885,Research & Development,4,3,Medical,1,705,1,男,58,4,1,Research Scientist,1,已婚,2819,8544,2,Y,否,16,3,1,80,1,5,3,4,3,2,0,2
25,否,偶尔出差,810,Sales,8,3,Life Sciences,1,707,4,男,57,4,2,Sales Executive,2,已婚,4851,15678,0,Y,否,22,4,3,80,1,4,4,3,3,2,1,2
38,否,偶尔出差,243,Sales,7,4,Marketing,1,709,4,女,46,2,2,Sales Executive,4,单身,4028,7791,0,Y,否,20,4,1,80,0,8,2,3,7,7,0,5
29,否,经常出差,806,Research & Development,1,4,Life Sciences,1,710,2,男,76,1,1,Research Scientist,4,离异,2720,18959,1,Y,否,18,3,4,80,1,10,5,3,10,7,2,8
48,否,偶尔出差,817,Sales,2,1,Marketing,1,712,2,男,56,4,2,Sales Executive,2,已婚,8120,18597,3,Y,否,12,3,4,80,0,12,3,3,2,2,2,2
27,否,经常出差,1410,Sales,3,1,Medical,1,714,4,女,71,4,2,Sales Executive,4,离异,4647,16673,1,Y,是,20,4,2,80,2,6,3,3,6,5,0,4
37,否,偶尔出差,1225,Research & Development,10,2,Life Sciences,1,715,4,男,80,4,1,Research Scientist,4,单身,4680,15232,3,Y,否,17,3,1,80,0,4,2,3,1,0,0,0
50,否,偶尔出差,1207,Research & Development,28,1,Medical,1,716,4,男,74,4,1,Laboratory Technician,3,已婚,3221,3297,1,Y,是,11,3,3,80,3,20,3,3,20,8,3,8
34,否,偶尔出差,1442,Research & Development,9,3,Medical,1,717,4,女,46,2,3,Healthcare Representative,2,单身,8621,17654,1,Y,否,14,3,2,80,0,9,3,4,8,7,7,7
